Messgroessenname;Aktiv;Abtastrate (ms);Datentyp (SPS);Datentyp (Crawler);Gruppe;Adresse;Tags
TestBool;true;5000;S7_Bool;FLOAT;VariableTypes;DB100.DBB0.0;
TestByte;true;5000;S7_Byte;FLOAT;VariableTypes;DB100.DBB1.0;
TestChar;true;5000;S7_Char;STRING;VariableTypes;DB100.DBB2.0;
TestDInt;true;5000;S7_DInt;FLOAT;VariableTypes;DB100.DBB4.0;
TestDWord;true;5000;S7_DWord;FLOAT;VariableTypes;DB100.DBB8.0;
TestDate;true;5000;S7_Date;STRING;VariableTypes;DB100.DBB12.0;
TestDateAndTime;true;5000;S7_Date_And_Time;STRING;VariableTypes;DB100.DBB14.0;
TestInt;true;5000;S7_Int;FLOAT;VariableTypes;DB100.DBB22.0;
TestLongInt;true;5000;S7_LInt;FLOAT;VariableTypes;DB100.DBB24.0;
TestLongReal;true;5000;S7_LReal;FLOAT;VariableTypes;DB100.DBB32.0;
TestReal;true;5000;S7_Real;FLOAT;VariableTypes;DB100.DBB40.0;
TestS5Time;true;5000;S7_S5Time;STRING;VariableTypes;DB100.DBB44.0;
TestString;true;5000;S7_String;STRING;VariableTypes;DB100.DBB46.0;
TestTime;true;5000;S7_Time;STRING;VariableTypes;DB100.DBB302.0;
TestTimeOfDay;true;5000;S7_Time_Of_Day;STRING;VariableTypes;DB100.DBB306.0;
TestUInt;true;5000;S7_UInt;FLOAT;VariableTypes;DB100.DBB310.0;
TestBool[0];true;5000;S7_Bool;FLOAT;Arrays;DB100.DBB312.0;
TestBool[1];true;5000;S7_Bool;FLOAT;Arrays;DB100.DBB312.1;
TestBool[2];true;5000;S7_Bool;FLOAT;Arrays;DB100.DBB312.2;
TestBool[3];true;5000;S7_Bool;FLOAT;Arrays;DB100.DBB312.3;
TestBool[4];true;5000;S7_Bool;FLOAT;Arrays;DB100.DBB312.4;
TestBool[5];true;5000;S7_Bool;FLOAT;Arrays;DB100.DBB312.5;
TestBool[6];true;5000;S7_Bool;FLOAT;Arrays;DB100.DBB312.6;
TestBool[7];true;5000;S7_Bool;FLOAT;Arrays;DB100.DBB312.7;
TestBool[8];true;5000;S7_Bool;FLOAT;Arrays;DB100.DBB313.0;
TestBool[9];true;5000;S7_Bool;FLOAT;Arrays;DB100.DBB313.1;
TestBool[10];true;5000;S7_Bool;FLOAT;Arrays;DB100.DBB313.2;
TestByte[0];true;5000;S7_Byte;FLOAT;Arrays;DB100.DBB314.0;
TestByte[1];true;5000;S7_Byte;FLOAT;Arrays;DB100.DBB315.0;
TestByte[2];true;5000;S7_Byte;FLOAT;Arrays;DB100.DBB316.0;
TestByte[3];true;5000;S7_Byte;FLOAT;Arrays;DB100.DBB317.0;
TestByte[4];true;5000;S7_Byte;FLOAT;Arrays;DB100.DBB318.0;
TestByte[5];true;5000;S7_Byte;FLOAT;Arrays;DB100.DBB319.0;
TestByte[6];true;5000;S7_Byte;FLOAT;Arrays;DB100.DBB320.0;
TestByte[7];true;5000;S7_Byte;FLOAT;Arrays;DB100.DBB321.0;
TestByte[8];true;5000;S7_Byte;FLOAT;Arrays;DB100.DBB322.0;
TestByte[9];true;5000;S7_Byte;FLOAT;Arrays;DB100.DBB323.0;
TestByte[10];true;5000;S7_Byte;FLOAT;Arrays;DB100.DBB324.0;
TestChar[0];true;5000;S7_Char;STRING;Arrays;DB100.DBB326.0;
TestChar[1];true;5000;S7_Char;STRING;Arrays;DB100.DBB327.0;
TestChar[2];true;5000;S7_Char;STRING;Arrays;DB100.DBB328.0;
TestChar[3];true;5000;S7_Char;STRING;Arrays;DB100.DBB329.0;
TestChar[4];true;5000;S7_Char;STRING;Arrays;DB100.DBB330.0;
TestChar[5];true;5000;S7_Char;STRING;Arrays;DB100.DBB331.0;
TestChar[6];true;5000;S7_Char;STRING;Arrays;DB100.DBB332.0;
TestChar[7];true;5000;S7_Char;STRING;Arrays;DB100.DBB333.0;
TestChar[8];true;5000;S7_Char;STRING;Arrays;DB100.DBB334.0;
TestChar[9];true;5000;S7_Char;STRING;Arrays;DB100.DBB335.0;
TestChar[10];true;5000;S7_Char;STRING;Arrays;DB100.DBB336.0;
TestDInt[0];true;5000;S7_DInt;FLOAT;Arrays;DB100.DBB338.0;
TestDInt[1];true;5000;S7_DInt;FLOAT;Arrays;DB100.DBB342.0;
TestDInt[2];true;5000;S7_DInt;FLOAT;Arrays;DB100.DBB346.0;
TestDInt[3];true;5000;S7_DInt;FLOAT;Arrays;DB100.DBB350.0;
TestDInt[4];true;5000;S7_DInt;FLOAT;Arrays;DB100.DBB354.0;
TestDInt[5];true;5000;S7_DInt;FLOAT;Arrays;DB100.DBB358.0;
TestDInt[6];true;5000;S7_DInt;FLOAT;Arrays;DB100.DBB362.0;
TestDInt[7];true;5000;S7_DInt;FLOAT;Arrays;DB100.DBB366.0;
TestDInt[8];true;5000;S7_DInt;FLOAT;Arrays;DB100.DBB370.0;
TestDInt[9];true;5000;S7_DInt;FLOAT;Arrays;DB100.DBB374.0;
TestDInt[10];true;5000;S7_DInt;FLOAT;Arrays;DB100.DBB378.0;
TestDWord[0];true;5000;S7_DWord;FLOAT;Arrays;DB100.DBB382.0;
TestDWord[1];true;5000;S7_DWord;FLOAT;Arrays;DB100.DBB386.0;
TestDWord[2];true;5000;S7_DWord;FLOAT;Arrays;DB100.DBB390.0;
