Messgroessenname;Aktiv;Abtastrate (ms);Datentyp (SPS);Datentyp (Crawler);Gruppe;Adresse;Tags
Spannung L1 L2;true;1000;S7_Real;FLOAT;PAC0;PLC.Blocks.PAC0.Messdaten.Spannung L1 L2;
Spannung L2 L3;true;1000;S7_Real;FLOAT;PAC0;PLC.Blocks.PAC0.Messdaten.Spannung L2 L3;
Spannung L3 L1;true;1000;S7_Real;FLOAT;PAC0;PLC.Blocks.PAC0.Messdaten.Spannung L3 L1;
Stom L1;true;1000;S7_Real;FLOAT;PAC0;PLC.Blocks.PAC0.Messdaten.Strom L1;
Stom L2;true;1000;S7_Real;FLOAT;PAC0;PLC.Blocks.PAC0.Messdaten.Strom L2;
Stom L3;true;1000;S7_Real;FLOAT;PAC0;PLC.Blocks.PAC0.Messdaten.Strom L3;
Summe Wirkleistung;true;1000;S7_Real;FLOAT;PAC0;PLC.Blocks.PAC0.Messdaten.Summe Wirkleistung;
Summe Blindleistung;true;1000;S7_Real;FLOAT;PAC0;PLC.Blocks.PAC0.Messdaten.Summe Blindleistung;
Summe Scheinleistung;true;1000;S7_Real;FLOAT;PAC0;PLC.Blocks.PAC0.Messdaten.Summe Scheinleistung;
Lesitungsfaktor;true;1000;S7_Real;FLOAT;PAC0;PLC.Blocks.PAC0.Messdaten.Lesitungsfaktor;
Spannung L1 L2;true;1000;S7_Real;FLOAT;PAC1;PLC.Blocks.PAC1.Messdaten.Spannung L1 L2;
Spannung L2 L3;true;1000;S7_Real;FLOAT;PAC1;PLC.Blocks.PAC1.Messdaten.Spannung L2 L3;
Spannung L3 L1;true;1000;S7_Real;FLOAT;PAC1;PLC.Blocks.PAC1.Messdaten.Spannung L3 L1;
Stom L1;true;1000;S7_Real;FLOAT;PAC1;PLC.Blocks.PAC1.Messdaten.Strom L1;
Stom L2;true;1000;S7_Real;FLOAT;PAC1;PLC.Blocks.PAC1.Messdaten.Strom L2;
Stom L3;true;1000;S7_Real;FLOAT;PAC1;PLC.Blocks.PAC1.Messdaten.Strom L3;
Summe Wirkleistung;true;1000;S7_Real;FLOAT;PAC1;PLC.Blocks.PAC1.Messdaten.Summe Wirkleistung;
Summe Blindleistung;true;1000;S7_Real;FLOAT;PAC1;PLC.Blocks.PAC1.Messdaten.Summe Blindleistung;
Summe Scheinleistung;true;1000;S7_Real;FLOAT;PAC1;PLC.Blocks.PAC1.Messdaten.Summe Scheinleistung;
Lesitungsfaktor;true;1000;S7_Real;FLOAT;PAC1;PLC.Blocks.PAC1.Messdaten.Lesitungsfaktor;
Spannung L1 L2;true;1000;S7_Real;FLOAT;PAC2;PLC.Blocks.PAC2.Messdaten.Spannung L1 L2;
Spannung L2 L3;true;1000;S7_Real;FLOAT;PAC2;PLC.Blocks.PAC2.Messdaten.Spannung L2 L3;
Spannung L3 L1;true;1000;S7_Real;FLOAT;PAC2;PLC.Blocks.PAC2.Messdaten.Spannung L3 L1;
Stom L1;true;1000;S7_Real;FLOAT;PAC2;PLC.Blocks.PAC2.Messdaten.Strom L1;
Stom L2;true;1000;S7_Real;FLOAT;PAC2;PLC.Blocks.PAC2.Messdaten.Strom L2;
Stom L3;true;1000;S7_Real;FLOAT;PAC2;PLC.Blocks.PAC2.Messdaten.Strom L3;
Summe Wirkleistung;true;1000;S7_Real;FLOAT;PAC2;PLC.Blocks.PAC2.Messdaten.Summe Wirkleistung;
Summe Blindleistung;true;1000;S7_Real;FLOAT;PAC2;PLC.Blocks.PAC2.Messdaten.Summe Blindleistung;
Summe Scheinleistung;true;1000;S7_Real;FLOAT;PAC2;PLC.Blocks.PAC2.Messdaten.Summe Scheinleistung;
Lesitungsfaktor;true;1000;S7_Real;FLOAT;PAC2;PLC.Blocks.PAC2.Messdaten.Lesitungsfaktor;
Spannung L1 L2;true;1000;S7_Real;FLOAT;PAC3;PLC.Blocks.PAC3.Messdaten.Spannung L1 L2;
Spannung L2 L3;true;1000;S7_Real;FLOAT;PAC3;PLC.Blocks.PAC3.Messdaten.Spannung L2 L3;
Spannung L3 L1;true;1000;S7_Real;FLOAT;PAC3;PLC.Blocks.PAC3.Messdaten.Spannung L3 L1;
Stom L1;true;1000;S7_Real;FLOAT;PAC3;PLC.Blocks.PAC3.Messdaten.Strom L1;
Stom L2;true;1000;S7_Real;FLOAT;PAC3;PLC.Blocks.PAC3.Messdaten.Strom L2;
Stom L3;true;1000;S7_Real;FLOAT;PAC3;PLC.Blocks.PAC3.Messdaten.Strom L3;
Summe Wirkleistung;true;1000;S7_Real;FLOAT;PAC3;PLC.Blocks.PAC3.Messdaten.Summe Wirkleistung;
Summe Blindleistung;true;1000;S7_Real;FLOAT;PAC3;PLC.Blocks.PAC3.Messdaten.Summe Blindleistung;
Summe Scheinleistung;true;1000;S7_Real;FLOAT;PAC3;PLC.Blocks.PAC3.Messdaten.Summe Scheinleistung;
Lesitungsfaktor;true;1000;S7_Real;FLOAT;PAC3;PLC.Blocks.PAC3.Messdaten.Lesitungsfaktor;
Spannung L1 L2;true;1000;S7_Real;FLOAT;PAC4;PLC.Blocks.PAC4.Messdaten.Spannung L1 L2;
Spannung L2 L3;true;1000;S7_Real;FLOAT;PAC4;PLC.Blocks.PAC4.Messdaten.Spannung L2 L3;
Spannung L3 L1;true;1000;S7_Real;FLOAT;PAC4;PLC.Blocks.PAC4.Messdaten.Spannung L3 L1;
Stom L1;true;1000;S7_Real;FLOAT;PAC4;PLC.Blocks.PAC4.Messdaten.Strom L1;
Stom L2;true;1000;S7_Real;FLOAT;PAC4;PLC.Blocks.PAC4.Messdaten.Strom L2;
Stom L3;true;1000;S7_Real;FLOAT;PAC4;PLC.Blocks.PAC4.Messdaten.Strom L3;
Summe Wirkleistung;true;1000;S7_Real;FLOAT;PAC4;PLC.Blocks.PAC4.Messdaten.Summe Wirkleistung;
Summe Blindleistung;true;1000;S7_Real;FLOAT;PAC4;PLC.Blocks.PAC4.Messdaten.Summe Blindleistung;
Summe Scheinleistung;true;1000;S7_Real;FLOAT;PAC4;PLC.Blocks.PAC4.Messdaten.Summe Scheinleistung;
Lesitungsfaktor;true;1000;S7_Real;FLOAT;PAC4;PLC.Blocks.PAC4.Messdaten.Lesitungsfaktor;
Spannung L1 L2;true;1000;S7_Real;FLOAT;PAC5;PLC.Blocks.PAC5.Messdaten.Spannung L1 L2;
Spannung L2 L3;true;1000;S7_Real;FLOAT;PAC5;PLC.Blocks.PAC5.Messdaten.Spannung L2 L3;
Spannung L3 L1;true;1000;S7_Real;FLOAT;PAC5;PLC.Blocks.PAC5.Messdaten.Spannung L3 L1;
Stom L1;true;1000;S7_Real;FLOAT;PAC5;PLC.Blocks.PAC5.Messdaten.Strom L1;
Stom L2;true;1000;S7_Real;FLOAT;PAC5;PLC.Blocks.PAC5.Messdaten.Strom L2;
Stom L3;true;1000;S7_Real;FLOAT;PAC5;PLC.Blocks.PAC5.Messdaten.Strom L3;
Summe Wirkleistung;true;1000;S7_Real;FLOAT;PAC5;PLC.Blocks.PAC5.Messdaten.Summe Wirkleistung;
Summe Blindleistung;true;1000;S7_Real;FLOAT;PAC5;PLC.Blocks.PAC5.Messdaten.Summe Blindleistung;
